timestamp	commit	branch	pade_m	pade_n	max_order	interval	enable_pade	pade_only_single_step	pade_denom_threshold	total_images	batch_size	seed	cfg_scale	num_sampling_steps	lpips	relative_l1	ssim	rmse	psnr	cosine	approx_total_steps	pade_steps	taylor_steps	mixed_steps	pade_calls	taylor_calls	pade_step_ratio	pade_call_ratio	status	comparison_bucket	bucket_best	paired_control_scope	paired_control_timestamp	paired_outcome	paired_control_lpips	paired_control_relative_l1	paired_control_ssim	paired_control_rmse	paired_delta_lpips	paired_delta_relative_l1	paired_delta_ssim	paired_delta_rmse	latency_baseline_timestamp	latency_baseline_sample_seconds	sample_seconds_budget	sample_seconds_ratio	latency_within_budget	pade_target_file	pade_code_sha256	pade_snapshot_file	description	sample_seconds	eval_seconds	total_seconds	artifact_dir
20260325-222816	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085093	1.074129	0.863016	6.515484	26.104462	0.990905	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	3f020262887f296f7c4b0780501198179f101f83a6fafdefc1f96ce98c52e7a9	/home/yjs/autoresearch/runs/20260325-222816-m1-n2-k3-i4/pade_target_snapshot.py	drop correction-ratio fallback from [1/2] blend	1743.830	15.276	1759.107	/home/yjs/autoresearch/runs/20260325-222816-m1-n2-k3-i4
20260325-225926	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085123	1.074184	0.862977	6.515267	26.102501	0.990899	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	197599e55fd4d8c2f80bcca8928597f1fa57ddc89bbd35e303c8c22318c9899d	/home/yjs/autoresearch/runs/20260325-225926-m1-n2-k3-i4/pade_target_snapshot.py	scale-normalize Taylor coefficients before [1/2] Padé solve	1802.307	15.403	1817.711	/home/yjs/autoresearch/runs/20260325-225926-m1-n2-k3-i4
20260325-235308	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.0001						0.085123	1.074184	0.862977	6.515267	26.102501	0.990899	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	197599e55fd4d8c2f80bcca8928597f1fa57ddc89bbd35e303c8c22318c9899d	/home/yjs/autoresearch/runs/20260325-235308-m1-n2-k3-i4/pade_target_snapshot.py	parameter probe: lower pade_denom_threshold to 1e-4 on current [1/2] code	1801.612	15.006	1816.620	/home/yjs/autoresearch/runs/20260325-235308-m1-n2-k3-i4
20260326-101254	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.0001						0.085093	1.074129	0.863016	6.515484	26.104462	0.990905	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	3f020262887f296f7c4b0780501198179f101f83a6fafdefc1f96ce98c52e7a9	/home/yjs/autoresearch/runs/20260326-101254-m1-n2-k3-i4/pade_target_snapshot.py	code probe: remove Taylor coefficient scaling from [1/2] Padé solve	1742.947	15.358	1758.307	/home/yjs/autoresearch/runs/20260326-101254-m1-n2-k3-i4
20260326-104449	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.0001						0.085856	1.073674	0.862982	6.511033	26.112834	0.990818	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	a33d3655b85d125277a52ec2a7310465cfcedc58f149c06c428f2e391eb68d88	/home/yjs/autoresearch/runs/20260326-104449-m1-n2-k3-i4/pade_target_snapshot.py	code probe: restore weak-denominator-only blend and Taylor fallback	1730.221	15.262	1745.484	/home/yjs/autoresearch/runs/20260326-104449-m1-n2-k3-i4
20260326-114236	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.084306	1.070833	0.863911	6.513626	26.161301	0.991029	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	a33d3655b85d125277a52ec2a7310465cfcedc58f149c06c428f2e391eb68d88	/home/yjs/autoresearch/runs/20260326-114236-m1-n2-k3-i4/pade_target_snapshot.py	parameter probe: restore pade_denom_threshold to 1e-3 on weak-denominator-only blend code	1731.916	15.397	1747.315	/home/yjs/autoresearch/runs/20260326-114236-m1-n2-k3-i4
20260326-130916	20ff29e	autoresearch/pade-code-20260325	1	2	3	3		true	0.001						0.062772	1.057843	0.897980	5.604660	28.382353	0.991693	8300	4050	4250	0	226800	238000	0.487952	0.487952	keep																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	a33d3655b85d125277a52ec2a7310465cfcedc58f149c06c428f2e391eb68d88	/home/yjs/autoresearch/runs/20260326-130916-m1-n2-k3-i3/pade_target_snapshot.py	parameter probe: reduce interval to 3 on validated weak-denominator-only blend code	2161.204	14.961	2176.166	/home/yjs/autoresearch/runs/20260326-130916-m1-n2-k3-i3
20260326-134634	20ff29e	autoresearch/pade-code-20260325	1	2	3	2		true	0.001						0.054280	1.063404	0.908731	5.243259	29.542935	0.994090	6200	6100	100	0	341600	5600	0.983871	0.983871	keep																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	a33d3655b85d125277a52ec2a7310465cfcedc58f149c06c428f2e391eb68d88	/home/yjs/autoresearch/runs/20260326-134634-m1-n2-k3-i2/pade_target_snapshot.py	parameter probe: reduce interval to 2 on validated interval-3 weak-denominator-only blend code	3003.127	14.608	3017.737	/home/yjs/autoresearch/runs/20260326-134634-m1-n2-k3-i2
20260326-152352	20ff29e	autoresearch/pade-code-20260326	1	2	3	2		true	0.002						0.045725	0.985202	0.921938	4.797509	30.884271	0.995453	6200	6100	100	0	341600	5600	0.983871	0.983871	keep																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	a33d3655b85d125277a52ec2a7310465cfcedc58f149c06c428f2e391eb68d88	/home/yjs/autoresearch/runs/20260326-152352-m1-n2-k3-i2/pade_target_snapshot.py	parameter probe: raise pade_denom_threshold to 2e-3 on interval-2 weak-denominator-only blend code	3006.547	14.655	3021.204	/home/yjs/autoresearch/runs/20260326-152352-m1-n2-k3-i2
20260326-162003	20ff29e	autoresearch/pade-code-20260326	1	2	3	2		true	0.003						0.046666	1.018251	0.923228	4.796676	30.723521	0.994805	6200	6100	101	1	341599	5601	0.983871	0.983868	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	a33d3655b85d125277a52ec2a7310465cfcedc58f149c06c428f2e391eb68d88	/home/yjs/autoresearch/runs/20260326-162003-m1-n2-k3-i2/pade_target_snapshot.py	parameter probe: raise pade_denom_threshold to 3e-3 on interval-2 weak-denominator-only blend code	2993.441	14.979	3008.422	/home/yjs/autoresearch/runs/20260326-162003-m1-n2-k3-i2
